thermotoga_maritima	Bacteria	75	2336	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	2	200918	188708	2419	188709	2335
caldisericum_exile	Bacteria	65	693075	cellular organisms; Bacteria; Caldiserica; Caldisericia; Caldisericales; Caldisericaceae; Caldisericum	2	67814	693071	693072	693073	693074
caldicoprobacter_algeriensis	Bacteria	70	699281	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Caldicoprobacteraceae; Caldicoprobacter	2	1239	186801	186802	715221	715222
acidianus_infernus	Archaea	88	12915	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	2157	28889	183924	2281	118883	12914
pyrodictium_abyssi	Archaea	102	54256	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae; Pyrodictium	2157	28889	183924	114380	2307	2308
thermofilum_pendens	Archaea	88	2269	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermofilaceae; Thermofilum	2157	28889	183924	2266	114378	2268
ignicoccus_islandicus	Archaea	90	54259	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Ignicoccus	2157	28889	183924	114380	2272	54258
methanothermus_fervidus	Archaea	81	2180	cellular organisms; Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanothermaceae; Methanothermus	2157	28890	183925	2158	2178	2179
caldicellulosiruptor_lactoaceticus	Bacteria	70	52766	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor	2	1239	186801	68295	543371	44000
pseudothermotoga_subterranea	Bacteria	70	39100	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	2	200918	188708	2419	188709	1643951
rhodothermus_marinus	Bacteria	68	29549	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus	2	976	NA	1100069	563843	29548
vulcanisaeta_distributa	Archaea	90	164451	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta	2157	28889	183924	2266	2267	164450
thermus_sp	Bacteria	67	275	cellular organisms; Bacteria; Terrabacteria group; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus	2	1297	188787	68933	188786	270
thermanaeromonas_toyohensis	Bacteria	70	161154	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermanaeromonas	2	1239	186801	68295	186814	202949
thermodesulfobacterium_hveragerdense	Bacteria	65	53424	cellular organisms; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium	2	200940	67799	188710	188711	1740
caldanaerovirga_acetigignens	Bacteria	66	447595	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldanaerovirga	2	1239	186801	68295	543371	591374
fervidobacterium_nodosum	Bacteria	70	2424	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium	2	200918	188708	2419	1643950	2422
pyrococcus_abyssi	Archaea	90	29292	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	2157	28890	183968	2258	2259	2260
caldinitratiruptor_microaerophilus	Bacteria	65	671077	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae; Caldinitratiruptor	2	1239	186801	186802	543349	1006480
palaeococcus_pacificus	Archaea	80	971279	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Palaeococcus	2157	28890	183968	2258	2259	83867
pyrobaculum_oguniense	Archaea	90	99007	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	2157	28889	183924	2266	2267	2276
ammonifex_thiophilus	Bacteria	70	444093	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Moorella group; Ammonifex	2	1239	186801	68295	186814	42837
thermanaeromonas_burensis	Bacteria	65	1226730	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermanaeromonas	2	1239	186801	68295	186814	202949
pyrococcus_sp	Archaea	95	33866	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	2157	28890	183968	2258	2259	2260
thermococcus_profundus	Archaea	80	49899	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermotoga_sp	Bacteria	78	28240	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	2	200918	188708	2419	188709	2335
thermolithobacter_ferrireducens	Bacteria	68	416555	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Thermolithobacteria; Thermolithobacterales; Thermolithobacteraceae; Thermolithobacter	2	1239	455491	455492	455493	335382
caldicellulosiruptor_kristjanssonii	Bacteria	70	52765	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor	2	1239	186801	68295	543371	44000
thermoproteus_tenax	Archaea	87	2271	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus	2157	28889	183924	2266	2267	2270
thermomicrobium_carboxidum	Bacteria	65	1401547	cellular organisms; Bacteria; Terrabacteria group; Chloroflexi; Thermomicrobia; Thermomicrobiales; Thermomicrobiaceae; Thermomicrobium	2	200795	189775	189776	189777	499
sulfolobus_shibatae	Archaea	73	2286	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus	2157	28889	183924	2281	118883	2284
phorcysia_thermohydrogeniphila	Bacteria	75	936138	cellular organisms; Bacteria; Aquificae; Aquificae; Desulfurobacteriales; Desulfurobacteriaceae; Phorcysia	2	200783	187857	1485951	558314	1079057
thermoproteus_uzoniensis	Archaea	85	184117	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus	2157	28889	183924	2266	2267	2270
sulfolobus_metallicus	Archaea	65	47303	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus	2157	28889	183924	2281	118883	2284
pyrococcus_furiosus	Archaea	96	2261	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	2157	28890	183968	2258	2259	2260
archaeoglobus_veneficus	Archaea	75	58290	cellular organisms; Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus	2157	28890	183980	2231	2232	2233
sulfolobus_brierleyi	Archaea	70	41673	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	2157	28889	183924	2281	118883	12914
spirochaeta_thermophila	Bacteria	65	154	cellular organisms; Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta	2	203691	203692	136	137	146
caldicellulosiruptor_hydrothermalis	Bacteria	65	413888	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor	2	1239	186801	68295	543371	44000
palaeococcus_ferrophilus	Archaea	80	83868	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Palaeococcus	2157	28890	183968	2258	2259	83867
thermoanaerobacter_wiegelii	Bacteria	65	46354	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter	2	1239	186801	68295	186814	1754
methanothermococcus_okinawensis	Archaea	65	155863	cellular organisms; Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanothermococcus	2157	28890	183939	2182	2183	155862
desulfurococcus_kamchatkensis	Archaea	82	94694	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Desulfurococcus	2157	28889	183924	114380	2272	2273
thermodesulfovibrio_hydrogeniphilus	Bacteria	65	412896	cellular organisms; Bacteria; Nitrospirae; Nitrospira; Nitrospirales; Nitrospiraceae; Thermodesulfovibrio	2	40117	203693	189778	189779	28261
caldicellulosiruptor_saccharolyticus	Bacteria	68	44001	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Caldicellulosiruptor	2	1239	186801	68295	543371	44000
thermus_scotoductus	Bacteria	66	37636	cellular organisms; Bacteria; Terrabacteria group; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus	2	1297	188787	68933	188786	270
pseudothermotoga_lettingae	Bacteria	65	177758	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	2	200918	188708	2419	188709	1643951
thermovibrio_ruber	Bacteria	80	171869	cellular organisms; Bacteria; Aquificae; Aquificae; Desulfurobacteriales; Desulfurobacteriaceae; Thermovibrio	2	200783	187857	1485951	558314	171868
pyrobaculum_organotrophum	Archaea	95	2278	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	2157	28889	183924	2266	2267	2276
sulfurihydrogenibium_rodmanii	Bacteria	68	380763	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Hydrogenothermaceae; Sulfurihydrogenibium	2	200783	187857	32069	224027	212790
hydrogenothermus_marinus	Bacteria	65	133270	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Hydrogenothermaceae; Hydrogenothermus	2	200783	187857	32069	224027	133269
thermotoga_neapolitana	Bacteria	79	2337	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	2	200918	188708	2419	188709	2335
thermovenabulum_gondwanense	Bacteria	65	520767	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermovenabulum	2	1239	186801	68295	543371	159730
methanotorris_formicicus	Archaea	68	213185	cellular organisms; Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanotorris	2157	28890	183939	2182	196117	196119
thermodesulfobacterium_sp	Bacteria	65	1965289	cellular organisms; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium	2	200940	67799	188710	188711	1740
thermococcus_cleftensis	Archaea	80	163003	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermococcus_barophilus	Archaea	85	55802	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
acidianus_brierleyi	Archaea	72	41673	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	2157	28889	183924	2281	118883	12914
thermococcus_radiotolerans	Archaea	88	187880	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermoanaerobacter_finnii	Bacteria	65	29325	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Thermoanaerobacter brockii	2	1239	186801	68295	186814	1754
methanocaldococcus_vulcanius	Archaea	80	73913	cellular organisms; Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus	2157	28890	183939	2182	196117	196118
thermococcus_chitonophagus	Archaea	85	54262	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
caloranaerobacter_azorensis	Bacteria	65	116090	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Caloranaerobacter	2	1239	186801	186802	31979	171003
methanotorris_igneus	Archaea	85	2189	cellular organisms; Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanotorris	2157	28890	183939	2182	196117	196119
thermodesulfovibrio_islandicus	Bacteria	65	53423	cellular organisms; Bacteria; Nitrospirae; Nitrospira; Nitrospirales; Nitrospiraceae; Thermodesulfovibrio	2	40117	203693	189778	189779	28261
thermosipho_melanesiensis	Bacteria	70	46541	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho	2	200918	188708	2419	1643950	2420
fervidicola_ferrireducens	Bacteria	70	520764	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Fervidicola	2	1239	186801	68295	186814	555078
caldanaerobacter_uzonensis	Bacteria	65	447594	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobacter	2	1239	186801	68295	186814	249529
persephonella_guaymasensis	Bacteria	70	182900	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Hydrogenothermaceae; Persephonella	2	200783	187857	32069	224027	182899
ignicoccus_pacificus	Archaea	90	114376	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Ignicoccus	2157	28889	183924	114380	2272	54258
thermotoga_lettingae	Bacteria	65	177758	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	2	200918	188708	2419	188709	1643951
thermosipho_africanus	Bacteria	68	2421	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho	2	200918	188708	2419	1643950	2420
caldimicrobium_thiodismutans	Bacteria	75	1653476	cellular organisms; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Caldimicrobium	2	200940	67799	188710	188711	444090
fervidobacterium_changbaicum	Bacteria	75	310769	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium	2	200918	188708	2419	1643950	2422
caldanaerobius_zeae	Bacteria	65	160792	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobius	2	1239	186801	68295	186814	862261
sulfurihydrogenibium_kristjanssonii	Bacteria	68	460873	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Hydrogenothermaceae; Sulfurihydrogenibium	2	200783	187857	32069	224027	212790
thermodesulfobacterium_geofontis	Bacteria	80	1295609	cellular organisms; Bacteria; Thermodesulfobacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium	2	200940	67799	188710	188711	1740
thermococcus_peptonophilus	Archaea	85	53952	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermosipho_globiformans	Bacteria	65	380685	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho	2	200918	188708	2419	1643950	2420
caldanaerobacter_subterraneus	Bacteria	69	911092	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Caldanaerobacter	2	1239	186801	68295	186814	249529
sulfolobus_acidocaldarius	Archaea	71	2285	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Sulfolobus	2157	28889	183924	2281	118883	2284
rhodothermus_obamensis	Bacteria	68	29549	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus	2	976	NA	1100069	563843	29548
thermotoga_caldifontis	Bacteria	70	1508419	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	2	200918	188708	2419	188709	2335
hydrogenobaculum_acidophilum	Bacteria	65	34092	cellular organisms; Bacteria; Aquificae; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum	2	200783	187857	32069	64898	168657
acidianus_ambivalens	Archaea	80	2283	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	2157	28889	183924	2281	118883	12914
thermus_islandicus	Bacteria	65	540988	cellular organisms; Bacteria; Terrabacteria group; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus	2	1297	188787	68933	188786	270
pyrobaculum_arsenaticum	Archaea	95	121277	cellular organisms; Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	2157	28889	183924	2266	2267	2276
pyrococcus_kukulkanii	Archaea	100	1609559	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	2157	28890	183968	2258	2259	2260
carboxydothermus_hydrogenoformans	Bacteria	65	129958	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Carboxydothermus	2	1239	186801	68295	186814	129957
thermosediminibacter_oceani	Bacteria	67	291990	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermosediminibacter	2	1239	186801	68295	543371	291988
thermococcus_acidaminovorans	Archaea	85	71280	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermococcus_zilligii	Archaea	75	54076	cellular organisms; Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	2157	28890	183968	2258	2259	2263
thermotoga_naphthophila	Bacteria	75	93930	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	2	200918	188708	2419	188709	2335
thermotoga_elfii	Bacteria	65	38322	cellular organisms; Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	2	200918	188708	2419	188709	1643951
